,city,population,average_education_index,crime_index,sixteen_plus_employed_percentage,house_median_value,edu_index_norm,employed_percentage_norm
33,Pewaukee village,8233,14.43,658,82.9,187000,0.8208191126279865,0.9335585585585586
34,Greendale,14208,14.42,1247,79.4,202900,0.820250284414107,0.8941441441441442
35,New Berlin,39712,14.41,521,82.9,236700,0.8196814562002276,0.9335585585585586
36,Oconomowoc,15990,14.38,492,76,232000,0.8179749715585894,0.8558558558558559
37,Menomonee Falls,35828,14.37,475,80.9,227100,0.81740614334471,0.9110360360360361
38,Hartland,9161,14.35,480,76.4,245500,0.8162684869169511,0.8603603603603605
39,Germantown,19791,14.34,725,78,234900,0.8156996587030717,0.8783783783783784
40,North Hudson,3776,14.33,180,74.3,212400,0.8151308304891923,0.8367117117117117
41,Port Washington,11401,14.32,466,80.3,190300,0.814562002275313,0.9042792792792793
42,Onalaska,18148,14.31,873,78.3,164700,0.8139931740614336,0.8817567567567568
43,Mount Horeb,7286,14.22,690,75.8,225400,0.8088737201365189,0.8536036036036035
44,Platteville,11480,14.2,836,88.8,148700,0.8077360637087599,1
45,De Pere,24216,14.16,571,78.2,167600,0.8054607508532424,0.8806306306306307
46,Eau Claire,67036,14.15,1171,83,138600,0.804891922639363,0.9346846846846847
47,Muskego,24387,14.13,361,79.8,268000,0.8037542662116042,0.8986486486486487
48,Washburn,2190,14.12,905,80.1,122400,0.8031854379977247,0.902027027027027
49,Stevens Point,26778,14.12,1151,86,113600,0.8031854379977247,0.9684684684684685
50,Altoona,6940,14.12,978,78,146500,0.8031854379977247,0.8783783783783784
51,Lake Mills,5768,14.11,549,78.3,165500,0.8026166097838453,0.8817567567567568
52,Green Lake,1022,14.09,703,85.4,158200,0.8014789533560865,0.9617117117117118
53,Whitewater,14801,14.08,895,87.9,169800,0.8009101251422072,0.9898648648648649
54,Cross Plains,3755,14.08,388,76,236100,0.8009101251422072,0.8558558558558559
55,Mukwonago,7426,14.08,712,78.8,215800,0.8009101251422072,0.8873873873873874
56,Waukesha,71083,14.06,857,79.3,194400,0.7997724687144483,0.8930180180180181
57,Pleasant Prairie,20015,14.06,626,79.9,204300,0.7997724687144483,0.8997747747747749
58,Stoughton,12886,14.05,757,78.8,181400,0.7992036405005689,0.8873873873873874
59,Mount Pleasant,26220,14.05,1040,82.1,183000,0.7992036405005689,0.9245495495495495
60,Deerfield,2468,14.04,639,75.8,182700,0.7986348122866894,0.8536036036036035
61,Hales Corners,7749,14.04,742,82.8,223000,0.7986348122866894,0.9324324324324325
62,Franklin,35920,14.02,714,81,226500,0.7974971558589307,0.9121621621621622
63,North Prairie,2284,14.01,170,77.8,241200,0.7969283276450513,0.8761261261261262
64,Caledonia,24689,14,610,82.2,196900,0.7963594994311719,0.9256756756756758
65,Eagle,1864,13.97,440,74.3,204900,0.7946530147895337,0.8367117117117117
66,La Crosse,51864,13.94,1559,85.9,129000,0.7929465301478954,0.9673423423423424
67,Columbus,5014,13.93,738,77.4,154300,0.792377701934016,0.8716216216216217
68,Lodi,3050,13.91,837,80.3,182600,0.7912400455062572,0.9042792792792793
69,Appleton,72861,13.89,1164,78.5,137900,0.7901023890784984,0.884009009009009
70,Holmen,9335,13.89,704,73.6,161500,0.7901023890784984,0.8288288288288288
71,Saint Croix Falls,2059,13.86,1096,84.7,156700,0.7883959044368601,0.9538288288288289
72,Fall River,1563,13.84,459,73.6,157000,0.7872582480091013,0.8288288288288288
73,Mineral Point,2659,13.84,672,80,148900,0.7872582480091013,0.9009009009009009
74,Oak Creek,34823,13.83,1132,79.2,205500,0.7866894197952219,0.891891891891892
75,Kronenwetter,7330,13.83,415,76.4,165400,0.7866894197952219,0.8603603603603605
76,Evansville,5089,13.83,698,73.8,160300,0.7866894197952219,0.831081081081081
77,Ashland,8167,13.81,2130,82.2,106100,0.7855517633674631,0.9256756756756758
78,Neenah,25697,13.8,782,78.7,132900,0.7849829351535837,0.8862612612612614
79,Belleville,2759,13.8,525,71.5,177200,0.7849829351535837,0.8051801801801802
80,Spring Green,1701,13.79,492,81.1,151300,0.7844141069397043,0.9132882882882882
81,Ashwaubenon,17065,13.75,1461,81.1,149300,0.7821387940841866,0.9132882882882882
82,East Troy,4300,13.74,1157,73.6,187200,0.7815699658703072,0.8288288288288288
83,Winneconne,2506,13.74,332,77.9,141100,0.7815699658703072,0.8772522522522523
84,Plover,12195,13.72,815,78.8,165100,0.7804323094425485,0.8873873873873874
85,Barneveld,1223,13.71,492,67.7,177400,0.7798634812286691,0.7623873873873874
86,Saukville,4479,13.69,844,78,196800,0.7787258248009101,0.8783783783783784
87,Lake Hallie,6550,13.69,1329,78.5,164900,0.7787258248009101,0.884009009009009
88,West Salem,4895,13.68,614,73.4,156500,0.7781569965870307,0.8265765765765767
